technology_required_technology_junctions_tables	0
technology	required_technology
tech_cst_admirals_01	tech_cst_admirals_00
tech_cst_admirals_02	tech_cst_admirals_00
tech_cst_admirals_03	tech_cst_admirals_00
tech_cst_admirals_04	tech_cst_admirals_00
tech_cst_command_01	tech_cst_command_00
tech_cst_command_02	tech_cst_command_00
tech_cst_command_03	tech_cst_command_00
tech_cst_command_04	tech_cst_command_00
tech_cst_command_05	tech_cst_command_00
tech_cst_command_06	tech_cst_command_00
tech_cst_command_07	tech_cst_command_00
tech_cst_command_08	tech_cst_command_00
tech_cst_command_09	tech_cst_command_00
tech_cst_command_10	tech_cst_command_00
tech_cst_command_11	tech_cst_command_00
tech_cst_command_12	tech_cst_command_00
tech_cst_firearms_01	tech_cst_firearms_00
tech_cst_firearms_02	tech_cst_firearms_00
tech_cst_firearms_03	tech_cst_firearms_00
tech_cst_firearms_04	tech_cst_firearms_00
tech_cst_firearms_05	tech_cst_firearms_00
tech_cst_firearms_06	tech_cst_firearms_00
tech_cst_firearms_07	tech_cst_firearms_00
tech_cst_firearms_08	tech_cst_firearms_00
tech_cst_firearms_09	tech_cst_firearms_00
tech_cst_piracy_00	tech_cst_command_00
tech_cst_piracy_01	tech_cst_command_00
tech_cst_piracy_02	tech_cst_firearms_00
tech_cst_piracy_03	tech_cst_vampiric_00
tech_cst_piracy_05	tech_cst_firearms_00
tech_cst_piracy_06	tech_cst_command_00
tech_cst_piracy_13	tech_cst_firearms_00
tech_cst_piracy_14	tech_cst_command_00
tech_cst_vampiric_01	tech_cst_vampiric_00
tech_cst_vampiric_02	tech_cst_vampiric_00
tech_cst_vampiric_03	tech_cst_vampiric_00
tech_cst_vampiric_04	tech_cst_vampiric_00
tech_cst_vampiric_05	tech_cst_command_00
tech_cst_vampiric_06	tech_cst_vampiric_00
tech_cst_vampiric_07	tech_cst_vampiric_00
tech_cst_vampiric_08	tech_cst_vampiric_00
tech_cst_vampiric_09	tech_cst_vampiric_00
tech_cst_vampiric_10	tech_cst_vampiric_00
tech_cst_vampiric_11	tech_cst_vampiric_00
tech_cst_vampiric_12	tech_cst_vampiric_00
tech_def_1_0_0	tech_def_0_1_0
tech_def_1_0_0	tech_def_0_2_0
tech_def_1_0_0	tech_def_0_3_0
tech_def_2_0_0	tech_def_1_1_0
tech_def_2_0_0	tech_def_1_2_0
tech_def_2_0_0	tech_def_1_3_0
tech_def_3_0_0	tech_def_2_1_0
tech_def_3_0_0	tech_def_2_2_0
tech_def_3_0_0	tech_def_2_3_0
tech_dlc07_brt_chivalry_beastmen_1	tech_dlc12_brt_chivalry_start
tech_dlc07_brt_chivalry_chaos_1	tech_dlc12_brt_chivalry_start
tech_dlc07_brt_chivalry_dark_elves	tech_dlc12_brt_chivalry_start
tech_dlc07_brt_chivalry_skaven	tech_dlc12_brt_chivalry_start
tech_dlc07_brt_chivalry_tomb_kings	tech_dlc12_brt_chivalry_start
tech_dlc07_brt_chivalry_vampires_1	tech_dlc12_brt_chivalry_start
tech_dlc07_brt_chivalry_wood_elves_1	tech_dlc12_brt_chivalry_start
tech_dlc07_brt_heraldry_errantry	tech_dlc07_brt_heraldry_start
tech_dlc07_brt_heraldry_oversea	tech_dlc07_brt_heraldry_start
tech_dlc11_brt_chivalry_vampire_coast_1	tech_dlc12_brt_chivalry_start
tech_dlc12_brt_heraldry_oversea_dwf	tech_dlc07_brt_heraldry_start
tech_dlc12_brt_heraldry_oversea_men	tech_dlc07_brt_heraldry_start
tech_dlc12_brt_heraldry_oversea_tmb	tech_dlc07_brt_heraldry_start
tech_dlc12_brt_heraldry_oversea_wef	tech_dlc07_brt_heraldry_start
tech_hef_4_01	tech_hef_4_00
tech_hef_4_02	tech_hef_4_00
tech_hef_4_03	tech_hef_4_00
tech_hef_4_04	tech_hef_4_00
tech_hef_4_05	tech_hef_4_00
tech_hef_4_06	tech_hef_4_00
tech_hef_4_07	tech_hef_4_00
tech_hef_4_08	tech_hef_4_00
tech_hef_4_09	tech_hef_4_00
tech_hef_4_10	tech_hef_4_00
tech_hef_4_11	tech_hef_4_00
tech_hef_4_12	tech_hef_4_00
