battle_set_piece_campaign_battle_scenes_tables	0
battle_set_piece	bmd	environment
wh2_dlc11_qb_cst_final_battle	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_dlc11_qb_cst_final_battle_aranessa	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_dlc11_qb_cst_final_battle_cylostra	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_dlc11_qb_cst_final_battle_noctilus	prefabs/campaign/underwater_battle.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/prebattle_underwater.environment
wh2_main_qb_final_battle_def	prefabs/campaign/isle_of_the_dead_final_battle_tyrion_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_def_hellebron	prefabs/campaign/isle_of_the_dead_final_battle_tyrion_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_def_lokhir	prefabs/campaign/isle_of_the_dead_final_battle_tyrion_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_def_morathi	prefabs/campaign/isle_of_the_dead_final_battle_tyrion_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_hef	prefabs/campaign/isle_of_the_dead_final_battle_malekith_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_hef_alarielle	prefabs/campaign/isle_of_the_dead_final_battle_malekith_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_hef_alith_anar	prefabs/campaign/isle_of_the_dead_final_battle_malekith_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_hef_teclis	prefabs/campaign/isle_of_the_dead_final_battle_malekith_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_lzd	prefabs/campaign/isle_of_the_dead_final_battle_malekith_tyrion.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_lzd_kroq_gar	prefabs/campaign/isle_of_the_dead_final_battle_malekith_tyrion.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_skv	prefabs/campaign/isle_of_the_dead_final_battle_malekith_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_skv_lord_skrolk	prefabs/campaign/isle_of_the_dead_final_battle_malekith_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
wh2_main_qb_final_battle_skv_tretch	prefabs/campaign/isle_of_the_dead_final_battle_malekith_mazdamundi.bmd	terrain/campaigns/warhammer_map_1_1_wood_elves/lighting/ulthuan.environment
